file_path,filename,relative_path,composer,title,split,year,duration,file_size_bytes,number_of_notes,number_of_chords,number_of_parts,instruments,tempo,time_signature,key,mode,key_correlation,parsing_status,error_message
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi,Johann Sebastian Bach,French Suite No. 5 in G Major,train,2004,968.26,100002,7684,105,2,Piano,120.0,4/4,G major,major,0.905,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi,Sergei Rachmaninoff,"Etude-Tableaux, Opus 33 No. 3 in C Minor",validation,2004,267.44,13021,1122,28,2,Piano,120.0,4/4,C major,major,0.657,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi,Sergei Rachmaninoff,"Etude-Tableaux, Opus 39 No. 8 in D Minor",test,2004,190.85,25491,2688,80,2,Piano,120.0,4/4,D minor,minor,0.954,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi,Robert Schumann,"Toccata in C Major, Opus 7",test,2004,312.66,64356,5907,225,2,Piano,120.0,4/4,C major,major,0.909,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi,MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi,Frédéric Chopin,"12 Etudes, Op. 25",train,2004,1409.29,187890,18101,413,2,Piano,120.0,4/4,C# minor,minor,0.825,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi,MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi,Frédéric Chopin,"12 Etudes, Op. 25",train,2004,327.33,47553,5827,55,2,Piano,120.0,4/4,C major,major,0.735,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi,MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi,Franz Liszt,Mephisto Waltz No. 1,train,2004,621.45,81629,9407,302,2,Piano,120.0,4/4,A major,major,0.725,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi,MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi,Johannes Brahms,"Sonata in F Minor, Op. 5",train,2004,477.5,38988,3240,150,2,Piano,120.0,4/4,F minor,minor,0.781,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi,MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi,Johannes Brahms,"Sonata in F Minor, Op. 5",train,2004,994.14,69447,5736,181,2,Piano,120.0,4/4,C# major,major,0.858,VALID,
C:\Users\banka\OneDrive\Desktop\maestro-v3.0.0-midi\maestro-v3.0.0\2004\MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi,MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi,maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi,Johannes Brahms,"Sonata in F Minor, Op. 5",train,2004,662.27,56555,4906,179,2,Piano,120.0,4/4,B- minor,minor,0.888,VALID,
